,values,timeline,talhao_idx,talhao_name,satelite
13,4310.0,2018-03-06T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
14,3440.0,2018-03-22T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
15,1752.0,2018-04-07T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
16,2943.0,2018-04-23T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
17,4818.0,2018-05-09T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
18,5550.0,2018-05-25T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
19,3728.0,2018-06-10T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
20,2980.0,2018-06-26T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
21,2660.0,2018-07-12T00:00:00,2,talhao 2,S2-SEN2COR_10_16D_STK-1
0,2192.0,2017-08-13T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
1,2010.0,2017-08-29T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
2,1992.0,2017-09-14T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
3,2015.0,2017-09-30T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
4,2182.0,2017-10-16T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
5,2314.0,2017-11-01T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
6,974.0,2017-11-17T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
7,1209.0,2017-12-03T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
8,2849.0,2017-12-19T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
9,5877.0,2018-01-01T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
10,1588.0,2018-01-17T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
11,-320.0,2018-02-02T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
12,8756.0,2018-02-18T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
13,4310.0,2018-03-06T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
14,3440.0,2018-03-22T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
15,1752.0,2018-04-07T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
16,2943.0,2018-04-23T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
17,4818.0,2018-05-09T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
18,5550.0,2018-05-25T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
19,3728.0,2018-06-10T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
20,2980.0,2018-06-26T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
21,2660.0,2018-07-12T00:00:00,3,talhao 3,S2-SEN2COR_10_16D_STK-1
0,1840.0,2017-08-13T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
1,1424.0,2017-08-29T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
2,1414.0,2017-09-14T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
3,1412.0,2017-09-30T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
4,1680.0,2017-10-16T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
5,2389.0,2017-11-01T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
6,-78.0,2017-11-17T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
7,999.0,2017-12-03T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
8,2715.0,2017-12-19T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
9,6788.0,2018-01-01T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
10,-155.0,2018-01-17T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
11,-1011.0,2018-02-02T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
12,8933.0,2018-02-18T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
13,3878.0,2018-03-06T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
14,2707.0,2018-03-22T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
15,2105.0,2018-04-07T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
16,4934.0,2018-04-23T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
17,5288.0,2018-05-09T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
18,4417.0,2018-05-25T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
19,2761.0,2018-06-10T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
20,2381.0,2018-06-26T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
21,2264.0,2018-07-12T00:00:00,4,talhao 4,S2-SEN2COR_10_16D_STK-1
0,2295.0,2017-08-13T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
1,2078.0,2017-08-29T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
2,1955.0,2017-09-14T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
3,2019.0,2017-09-30T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
4,2172.0,2017-10-16T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
5,1624.0,2017-11-01T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
6,113.0,2017-11-17T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
7,959.0,2017-12-03T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
8,3992.0,2017-12-19T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
9,3536.0,2018-01-01T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
10,242.0,2018-01-17T00:00:00,5,talhao 5,S2-SEN2COR_10_16D_STK-1
